fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Ralph Dillon,"6' 2""",205 lbs.,,Orthodox,,0,0,1,1,0,0,0,0
Drew Dimanlig,,185 lbs.,,,,4,1,3,0,0,0,0,0
Rico DiSciullo,"5' 8""",135 lbs.,,Orthodox,12-Oct-86,2,0,4,1,0,0,0,0
Helio Dipp,"6' 5""",185 lbs.,,Orthodox,,1,0,2,1,0,0,1,0
John Dixson,"6' 0""",275 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Anthony Do,"5' 4""",125 lbs.,,,,0,0,0,0,0,0,0,0
Russell Doane,"5' 7""",135 lbs.,"70""",Orthodox,13-Aug-86,2,0,2,1,2,0,1,1
David Dodd,"6' 2""",200 lbs.,,Orthodox,22-Sep-73,0,0,0,0,0,0,0,0
Drew Dober,"5' 8""",155 lbs.,"70""",Southpaw,19-Oct-88,4,0,4,1,1,0,1,0
Shana Dobson,"5' 6""",125 lbs.,"69""",Orthodox,30-Mar-89,3,0,5,1,1,1,0,0
Joe Doerksen,"6' 0""",185 lbs.,"75""",Orthodox,9-Oct-77,1,0,3,1,2,0,0,2
Mike Dolce,"5' 11""",185 lbs.,,,15-Apr-76,0,0,0,0,0,0,0,0
John Dodson,"5' 3""",135 lbs.,"66""",Orthodox,26-Sep-84,3,0,4,1,1,0,1,0
Cameron Dollar,"5' 11""",155 lbs.,,Orthodox,12-May-87,5,0,3,1,0,0,0,0
OJ Dominguez,,,,,,0,0,0,0,0,0,0,0
John Donaldson,"5' 8""",145 lbs.,,,9-Jul-92,1,0,4,1,0,0,0,0
CB Dollaway,"6' 2""",185 lbs.,"76""",Orthodox,10-Aug-83,3,0,3,1,4,1,1,1
Dennis Dombrow,,145 lbs.,,,17-Mar-86,0,0,0,0,0,0,0,0
Cody Donovan,"6' 3""",205 lbs.,"74""",Orthodox,20-Feb-81,6,1,5,0,2,0,0,2
Houston Dorr,"6' 1""",210 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Roman Dolidze,"6' 2""",205 lbs.,"76""",Orthodox,15-Jul-88,3,1,2,1,2,1,0,2
Geronimo dos Santos,"6' 3""",264 lbs.,,Orthodox,17-Aug-80,1,0,9,0,0,0,0,0
Anderson Dos Santos,"5' 5""",135 lbs.,"70""",Orthodox,24-Jul-85,3,0,5,1,1,0,1,1
Antonio Dos Santos,"5' 10""",185 lbs.,,Orthodox,21-Jul-88,5,1,4,0,0,0,1,0
Oleksandr Doskalchuk,"5' 6""",125 lbs.,,Southpaw,13-Mar-90,0,0,0,0,0,0,0,0
Tiago dos Santos e Silva,"5' 9""",145 lbs.,"70""",Orthodox,12-Apr-87,4,0,4,1,1,0,0,0
Junior Dos Santos,"6' 4""",238 lbs.,"77""",Orthodox,30-Jan-84,4,0,3,1,0,1,1,0
Rafael Dos Anjos,"5' 8""",155 lbs.,"70""",Southpaw,26-Oct-84,3,0,3,1,2,0,1,1
David Douglas,"5' 11""",155 lbs.,,,16-Aug-81,0,0,0,0,0,0,0,0
Jordan Dowdy,,170 lbs.,,,,2,0,3,1,0,0,0,0
Damion Douglas,,170 lbs.,,,,0,0,0,0,0,0,0,0
Derek Downey,"6' 1""",185 lbs.,,Orthodox,27-Apr-80,0,1,3,0,2,0,0,0
John Dowdy,,,,,,0,0,0,0,0,0,0,0
John Doyle,"5' 11""",205 lbs.,,Orthodox,21-Nov-76,4,0,11,0,0,0,0,0
Kyle Driscoll,"5' 11""",145 lbs.,"74""",Orthodox,23-Sep-94,3,0,3,1,2,0,0,0
Edson Drago,"6' 4""",220 lbs.,,Orthodox,29-Aug-77,1,0,2,0,0,0,1,0
Danny Downes,"6' 0""",155 lbs.,"72""",Orthodox,8-Apr-86,2,0,4,0,0,0,0,1
Chris Drumm,"5' 8""",145 lbs.,,,,0,0,0,0,0,0,0,0
Hugo Duarte,"6' 0""",240 lbs.,,Orthodox,9-Aug-68,0,0,0,0,0,0,0,0
Tomasz Drwal,"6' 1""",205 lbs.,"76""",Orthodox,22-Jan-82,3,0,2,1,4,1,1,0
Robert Drysdale,"6' 3""",205 lbs.,,Orthodox,5-Oct-81,0,0,0,0,7,1,0,22
Dricus Du Plessis,"6' 1""",185 lbs.,"76""",Switch,14-Jan-94,8,0,4,1,0,0,0,0
Joe Duarte,,155 lbs.,,,25-Jan-77,2,0,4,1,3,1,1,1
Antonio Duarte,"5' 7""",135 lbs.,,,,5,0,4,1,0,0,1,0
Norma Dumont,"5' 7""",135 lbs.,"67""",Orthodox,1-Oct-90,5,1,3,1,2,0,1,0
Jessamyn Duke,"5' 11""",135 lbs.,"73""",Orthodox,24-Jun-86,5,1,4,1,1,0,1,2
Adin Duenas,"5' 6""",145 lbs.,,,2-Jul-88,0,0,0,0,0,0,0,0
Joe Duffy,"5' 10""",155 lbs.,"73""",Orthodox,18-Feb-88,3,0,4,1,1,1,1,1
Milana Dudieva,"5' 3""",135 lbs.,,Orthodox,4-Aug-89,1,0,3,1,2,0,0,0
Todd Duffee,"6' 3""",260 lbs.,"78""",Orthodox,6-Dec-85,6,0,3,1,1,0,1,0
Alexis Dufresne,"5' 9""",135 lbs.,,Orthodox,31-Aug-90,1,0,3,1,2,1,1,0
Kelly Dullanty,"5' 8""",155 lbs.,,Orthodox,4-Nov-77,0,0,1,1,0,0,1,0
Alex Dunworth,"5' 8""",155 lbs.,,,,2,0,9,0,0,0,1,0
Cody Durden,"5' 7""",125 lbs.,"67""",Southpaw,29-Mar-91,3,0,4,0,3,0,1,1
Luiz Dutra,"5' 11""",170 lbs.,,Orthodox,6-May-82,4,1,5,0,0,0,1,0
Reuben Duran,"5' 7""",135 lbs.,"71""",Orthodox,2-Jul-83,3,0,3,1,1,0,0,1
Rilley Dutro,"5' 8""",125 lbs.,,Orthodox,3-Sep-87,5,1,6,0,0,0,1,0
Tom Duquesnoy,"5' 7""",135 lbs.,"68""",Orthodox,21-Jun-93,4,0,5,1,0,0,0,0
Evan Dunham,"5' 10""",155 lbs.,"70""",Southpaw,18-Dec-81,5,0,4,1,2,0,1,1
Bill Duvall,"6' 2""",185 lbs.,,Southpaw,,0,0,2,0,0,0,0,0
David Dvorak,"5' 5""",125 lbs.,"68""",Orthodox,5-Jun-92,5,0,3,1,0,0,1,0
Matt Dwyer,"6' 4""",170 lbs.,"76""",Orthodox,17-Dec-89,3,0,3,1,0,0,1,0
Merab Dvalishvili,"5' 6""",135 lbs.,"68""",Orthodox,10-Jan-91,4,0,2,1,8,0,1,0
Ben Earwood,"5' 8""",170 lbs.,,Orthodox,,1,1,0,0,3,1,0,0
Rolando Dy,"5' 8""",145 lbs.,"69""",Orthodox,11-Aug-90,3,0,4,1,0,0,1,0
Cody East,"6' 3""",245 lbs.,,Orthodox,29-Jun-88,4,0,7,0,4,1,0,0
Mike Easton,"5' 6""",135 lbs.,"70""",Southpaw,25-Jan-84,4,0,4,1,1,0,1,0
Marvin Eastman,"5' 9""",185 lbs.,"73""",Orthodox,8-Jun-71,2,0,4,0,1,0,1,0
Vincent Eazelle,"5' 11""",155 lbs.,,,7-Dec-80,0,0,0,0,0,0,0,0
Maurice Eazel,"5' 7""",135 lbs.,,,,0,0,0,0,0,0,0,0
Brian Ebersole,"6' 0""",170 lbs.,"73""",Southpaw,27-Nov-80,2,0,2,1,2,0,1,0
Ross Ebanez,"5' 9""",154 lbs.,,Southpaw,18-May-75,1,1,1,1,4,1,0,0
Mark Eddiva,"5' 8""",145 lbs.,"68""",Orthodox,16-Feb-86,3,0,3,1,1,0,1,0
Johnny Eduardo,"5' 7""",135 lbs.,"71""",Orthodox,3-Aug-78,3,0,3,1,0,0,1,1
Abdul-Kerim Edilov,"6' 2""",205 lbs.,,Orthodox,25-Nov-91,10,1,0,1,4,1,0,2
Frankie Edgar,"5' 6""",135 lbs.,"68""",Orthodox,16-Oct-81,4,0,3,1,2,0,1,0
Adli Edwards,,145 lbs.,,,28-Aug-89,0,0,0,0,0,0,0,0
Stephanie Egger,"5' 6""",135 lbs.,"68""",Orthodox,12-Aug-88,1,0,1,1,1,0,0,0
Tom Egan,"5' 11""",170 lbs.,,Orthodox,,0,0,4,1,0,0,0,0
Joselyne Edwards,"5' 8""",135 lbs.,"70""",Orthodox,29-Sep-95,4,1,4,0,1,0,0,1
Te Edwards,"5' 8""",155 lbs.,"72""",Orthodox,11-Sep-90,2,0,4,0,1,1,0,0
Justin Edwards,"5' 10""",155 lbs.,"70""",Orthodox,26-Jan-83,3,0,3,1,2,0,0,1
Leon Edwards,"6' 2""",170 lbs.,"74""",Southpaw,25-Aug-91,3,0,2,1,1,0,1,0
Yves Edwards,"5' 9""",155 lbs.,"73""",Southpaw,30-Sep-76,3,0,2,1,1,1,1,1
John Elam,,,,,,0,0,0,0,0,0,0,0
Jon Olav Einemo,"6' 6""",253 lbs.,,Orthodox,10-Dec-75,2,1,3,1,2,1,0,0
John Paul Elias,"6' 4""",205 lbs.,,,,0,0,0,0,0,0,0,0
Per Eklund,"5' 10""",155 lbs.,"72""",Orthodox,,2,1,2,1,2,0,1,4
Saul Elizondo,"5' 7""",135 lbs.,,,17-Jul-85,2,0,5,0,2,1,1,1
Justin Eilers,"6' 1""",235 lbs.,,Orthodox,28-Jun-78,3,0,6,0,1,0,1,0
Jake Ellenberger,"5' 9""",170 lbs.,"71""",Orthodox,28-Mar-85,2,0,3,1,2,0,1,0
Darren Elkins,"5' 10""",145 lbs.,"71""",Orthodox,16-May-84,4,0,3,1,3,0,1,1
Joe Ellenberger,"5' 9""",155 lbs.,"72""",Orthodox,28-Mar-85,2,0,3,0,3,0,0,1
Eddy Ellis,"5' 9""",170 lbs.,,Orthodox,,3,1,2,1,4,1,1,2
Cameron Else,"5' 9""",135 lbs.,"71""",Switch,27-Apr-87,2,0,6,1,0,0,0,0
Lisa Ellis,"5' 4""",115 lbs.,,,15-Nov-82,2,0,2,1,4,1,1,1
Anna Elmose,"5' 3""",115 lbs.,,Orthodox,6-Oct-84,4,0,5,1,0,0,0,0
Tim Elliott,"5' 7""",125 lbs.,"66""",Southpaw,24-Dec-86,3,0,2,1,4,0,1,1
Aaron Ely,"5' 8""",135 lbs.,,,18-Mar-89,1,0,1,1,2,1,1,5
Sovannahry Em,"5' 4""",135 lbs.,,,26-Jun-92,0,0,0,0,0,0,0,0
Aleksander Emelianenko,"6' 6""",255 lbs.,,Orthodox,2-Aug-81,3,0,2,1,2,1,1,1
Rob Emerson,"5' 9""",155 lbs.,"70""",Orthodox,30-Jul-81,3,0,3,1,2,1,1,0
Ramazan Emeev,"5' 10""",170 lbs.,"76""",Southpaw,23-May-87,3,0,2,1,2,0,1,1
Josh Emmett,"5' 6""",145 lbs.,"70""",Orthodox,4-Mar-85,4,0,4,1,1,0,1,0
Jamall Emmers,"5' 10""",145 lbs.,"74""",Orthodox,24-Jul-89,6,1,5,1,3,1,1,0
Fedor Emelianenko,"6' 0""",230 lbs.,"74""",Orthodox,28-Sep-76,3,1,1,1,2,1,1,2
Kevin Engel,"6' 2""",170 lbs.,,,,0,0,0,0,0,0,0,0
Marius Enache,"5' 11""",155 lbs.,,,16-Oct-75,2,0,1,1,4,1,0,4
Oliver Enkamp,"6' 0""",170 lbs.,"77""",Switch,10-Aug-91,2,0,4,0,1,0,0,0
Alex Enlund,"5' 10""",145 lbs.,,Orthodox,27-May-87,0,0,0,0,0,0,0,0
Ian Entwistle,"5' 5""",135 lbs.,,Orthodox,19-Nov-86,0,0,7,0,0,0,0,12
Kenny Ento,"6' 2""",192 lbs.,,,,8,1,0,1,5,1,0,11
Won Jin Eoh,"5' 7""",160 lbs.,,Orthodox,,4,0,4,0,0,0,1,0
Andy Enz,"6' 3""",185 lbs.,"78""",Orthodox,15-Aug-91,4,0,5,1,0,0,1,0
Josh Epps,,130 lbs.,,,23-Aug-86,0,0,0,0,0,0,0,0
Tom Erikson,"6' 3""",280 lbs.,,Orthodox,,1,0,2,0,5,1,1,6
Konstantin Erokhin,"5' 11""",230 lbs.,,Orthodox,31-Jan-83,1,0,2,0,0,0,1,0
Julian Erosa,"6' 1""",145 lbs.,"74""",Southpaw,31-Jul-89,5,0,6,1,1,1,1,1
Nick Ertl,"5' 9""",155 lbs.,,,,1,1,2,0,2,1,0,0
Chel Erwin-Davis,"6' 0""",170 lbs.,,,,4,1,1,1,4,1,1,1
Bobby Escalante,,130 lbs.,,,,0,0,0,0,0,0,0,0
Eric Esch,"5' 11""",350 lbs.,,Orthodox,3-Aug-68,3,1,2,0,0,0,0,2
Pro Escobedo,,205 lbs.,,,,0,0,0,0,0,0,0,0
Cole Escovedo,"5' 7""",135 lbs.,"72""",Orthodox,30-Aug-81,2,0,4,0,0,0,0,0
Evan Esguerra,,145 lbs.,,,,0,0,0,0,0,0,0,0
Efrain Escudero,"5' 9""",155 lbs.,"71""",Orthodox,15-Jan-86,3,0,2,1,1,0,1,1
Carla Esparza,"5' 1""",115 lbs.,"63""",Orthodox,10-Oct-87,2,0,3,1,3,0,0,0
Juan Espino,"6' 3""",250 lbs.,"80""",,9-Oct-80,4,1,1,0,14,1,0,6
Jodie Esquibel,"5' 1""",115 lbs.,"64""",Orthodox,7-May-86,4,0,7,1,1,0,1,0
Jordan Espinosa,"5' 6""",125 lbs.,"69""",Orthodox,8-Nov-89,4,1,3,1,1,0,1,0
Fred Ettish,"6' 0""",180 lbs.,,Southpaw,,0,0,0,0,0,0,0,0
Terry Etim,"6' 1""",155 lbs.,"73""",Orthodox,11-Jan-86,2,0,3,1,0,0,0,1
Scott Ettling,,135 lbs.,,,,0,0,1,1,8,1,0,0
Sijara Eubanks,"5' 4""",135 lbs.,"67""",Orthodox,27-Apr-85,5,0,4,1,2,0,1,0
Billy Evangelista,"5' 8""",155 lbs.,"68""",Orthodox,7-Oct-80,5,0,4,1,2,0,1,0
Rashad Evans,"6' 0""",205 lbs.,"75""",Orthodox,25-Sep-79,2,0,2,1,3,0,1,0
Doug Evans,"5' 9""",155 lbs.,,Orthodox,10-Oct-80,2,0,3,1,3,1,1,1
Ashlee Evans-Smith,"5' 8""",135 lbs.,"67""",Orthodox,9-Jul-87,5,0,5,1,1,0,1,0
Dan Evensen,"6' 3""",250 lbs.,,Orthodox,1-Jun-74,0,0,4,0,0,0,0,4
Tonya Evinger,"5' 7""",135 lbs.,"70""",Orthodox,4-Jun-81,1,0,4,0,1,0,0,1
Andre Ewell,"5' 8""",135 lbs.,"75""",Southpaw,21-Jan-88,4,0,4,1,0,1,1,0
Movsar Evloev,"5' 7""",145 lbs.,"72""",Orthodox,11-Feb-94,5,0,3,1,3,0,1,0
Neal Ewing,,185 lbs.,,,30-Sep-85,2,1,2,0,5,1,0,0
Edward Faaloloto,,155 lbs.,"70""",,15-Jul-84,2,0,6,0,1,0,0,0
Jessica Eye,"5' 6""",125 lbs.,"66""",Orthodox,27-Jul-86,4,0,4,1,0,0,1,1
Wagnney Fabiano,"5' 6""",145 lbs.,"69""",Southpaw,14-Jul-75,1,0,1,1,3,1,1,0
Melinda Fabian,"5' 6""",125 lbs.,"66""",,25-Jun-87,4,0,4,1,0,0,1,0
Urijah Faber,"5' 6""",135 lbs.,"67""",Orthodox,14-May-79,3,0,3,1,2,0,1,1
Ron Faircloth,"5' 9""",205 lbs.,,Orthodox,16-Aug-79,0,0,9,0,0,0,0,0
Jason Fairn,"6' 1""",230 lbs.,,,,0,0,0,0,0,0,0,0
Bartosz Fabinski,"6' 0""",170 lbs.,"75""",Orthodox,26-Apr-86,2,1,1,1,7,1,1,0
Rinat Fakhretdinov,"6' 0""",185 lbs.,,,28-Sep-91,0,0,0,0,0,0,0,0
Zarah Fairn,"5' 8""",145 lbs.,"72""",Orthodox,12-Dec-86,2,0,7,0,0,0,1,0
Maiquel Falcao,"5' 11""",185 lbs.,,Orthodox,8-Mar-81,2,1,1,1,1,1,1,3
Brodie Farber,"6' 1""",170 lbs.,,Orthodox,5-Jul-80,2,0,2,1,1,1,0,1
Joao Paulo Faria,"5' 9""",155 lbs.,,,,7,1,2,1,1,1,0,1
Chance Farrar,"5' 9""",145 lbs.,,Southpaw,11-Sep-75,1,0,2,1,3,1,0,0
Rico Farrington,"6' 4""",170 lbs.,"79""",Southpaw,19-Jun-89,6,0,7,1,0,0,0,0
Kalindra Faria,"5' 7""",125 lbs.,,Switch,23-Jul-86,2,1,1,0,1,1,0,1
Kelly Faszholz,"5' 8""",135 lbs.,,Orthodox,9-Apr-85,4,0,4,1,0,0,0,0
Rodney Faverus,"6' 0""",215 lbs.,,Southpaw,,2,1,2,1,5,1,0,0
Carlos Felipe,"6' 0""",245 lbs.,"75""",Orthodox,12-Jan-95,4,0,5,0,0,0,1,0
Paul Felder,"5' 11""",155 lbs.,"70""",Orthodox,25-Apr-84,4,0,3,0,0,0,1,0
Kevin Ferguson,"6' 2""",235 lbs.,"77""",Orthodox,8-Feb-74,2,1,3,0,3,1,0,1
JP Felty,,170 lbs.,,,28-Apr-79,0,0,0,0,0,0,0,0
Josh Ferguson,"5' 5""",125 lbs.,,Orthodox,13-May-88,2,0,4,0,1,0,1,0
Rhadi Ferguson,"5' 7""",205 lbs.,,,,0,0,0,0,0,0,0,0
Tony Ferguson,"5' 11""",155 lbs.,"76""",Orthodox,12-Feb-84,5,0,4,1,0,0,1,1
CJ Fernandes,"6' 2""",170 lbs.,,,13-Nov-77,0,0,0,0,0,0,0,0
Bibiano Fernandes,"5' 7""",139 lbs.,,Orthodox,30-Mar-80,3,0,2,1,4,1,1,1
Alexandre Ferreira,"5' 7""",205 lbs.,,Orthodox,25-Apr-79,3,1,8,0,0,0,0,0
Cezar Ferreira,"6' 1""",185 lbs.,"78""",Southpaw,15-Feb-85,2,0,2,1,3,1,1,1
Diego Ferreira,"5' 9""",155 lbs.,"74""",Orthodox,18-Jan-85,5,0,3,1,1,0,1,1
Timo Feucht,"6' 3""",205 lbs.,"79""",Orthodox,18-Jan-96,0,0,0,0,0,0,0,0
Scott Ferrozzo,"5' 11""",323 lbs.,,Orthodox,26-Apr-65,0,0,0,0,0,0,0,0
Drew Fickett,"5' 10""",155 lbs.,"70""",Orthodox,14-Dec-79,2,0,2,1,1,0,0,2
Scott Fiedler,"6' 4""",235 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Ron Fields,"6' 2""",200 lbs.,,Orthodox,18-Nov-74,0,0,3,0,0,0,0,0
Deiveson Figueiredo,"5' 5""",125 lbs.,"68""",Orthodox,18-Dec-87,3,1,3,1,2,1,1,2
Francisco Figueiredo,"5' 6""",135 lbs.,"69""",Southpaw,23-Oct-89,2,1,2,1,4,1,1,0
Edwin Figueroa,"5' 7""",135 lbs.,"69""",Orthodox,31-Jul-84,3,0,3,1,0,1,0,1
Anthony Figueroa,"5' 4""",135 lbs.,,Orthodox,,2,0,4,0,0,0,1,0
Paulo Filho,"5' 8""",185 lbs.,,Southpaw,24-May-78,2,0,2,1,2,0,0,2
Andre Fili,"5' 11""",145 lbs.,"74""",Orthodox,25-Jun-90,4,0,4,1,3,0,1,0
Brady Fink,"6' 0""",183 lbs.,,Orthodox,,2,0,2,1,4,0,0,4
Jan Finney,"5' 8""",135 lbs.,,Orthodox,,2,0,9,0,1,0,0,0
Jesse Finney,"6' 0""",170 lbs.,,,11-Jul-74,0,0,0,0,0,0,0,0
Mirko Filipovic,"6' 2""",230 lbs.,"73""",Southpaw,10-Sep-74,2,1,2,1,0,0,1,0
Luigi Fioravanti,"5' 8""",170 lbs.,"70""",Orthodox,22-Jan-81,2,0,2,1,4,1,1,1
Manon Fiorot,"5' 7""",125 lbs.,,Orthodox,17-Feb-90,6,1,2,1,2,1,1,0
Luiz Firmino,"5' 6""",154 lbs.,,Orthodox,18-Mar-82,1,1,1,1,4,0,0,1
Spencer Fisher,"5' 7""",155 lbs.,"68""",Southpaw,9-May-76,3,0,3,1,1,0,1,1
Chris Fishgold,"5' 8""",145 lbs.,"68""",Orthodox,6-Jun-92,2,0,3,0,3,0,0,1
Bryanna Fissori,"5' 4""",145 lbs.,,,,1,0,1,1,2,0,1,0
Isi Fitikefu,"5' 10""",205 lbs.,,,,0,0,0,0,0,0,0,0
Jimmy Flick,"5' 7""",125 lbs.,"68""",Orthodox,7-Sep-90,2,1,2,1,2,1,0,7
Alejandro Flores,"5' 10""",145 lbs.,"73""",Orthodox,6-Aug-91,4,0,2,1,0,0,0,0
Colin Fletcher,"6' 2""",155 lbs.,,Orthodox,8-Jan-83,3,0,3,1,0,0,0,0
Ty Flores,"6' 3""",205 lbs.,"73""",Switch,22-Dec-93,2,0,8,0,1,0,0,0
Rafael Fiziev,"5' 8""",155 lbs.,"71""",Switch,5-Mar-93,5,1,4,1,1,1,1,0
Luke Flores,"6' 0""",155 lbs.,"73""",Southpaw,17-Mar-88,2,0,2,1,0,0,0,1
Jon Fitch,"6' 0""",170 lbs.,"74""",Orthodox,24-Feb-78,3,1,2,1,4,1,1,1
Cody Floyd,,,,,18-Jul-88,0,0,0,0,0,0,0,0
Mal Foki,"5' 7""",220 lbs.,,Orthodox,,3,0,14,1,0,0,0,0
Bobby Flynn,,170 lbs.,,,,0,0,1,0,0,0,0,0
Kenny Florian,"5' 10""",145 lbs.,"74""",Southpaw,26-May-76,2,0,2,1,2,0,1,1
Caros Fodor,"5' 9""",155 lbs.,"74""",Orthodox,7-Jan-84,3,1,3,1,2,0,1,0
Matt Foki,"5' 7""",220 lbs.,,Orthodox,,0,0,3,1,0,0,0,0
AJ Fonseca,"5' 4""",145 lbs.,,,,0,0,0,0,0,0,0,0
Rob Font,"5' 8""",135 lbs.,"71""",Orthodox,25-Jun-87,5,0,4,1,1,0,0,1
Jesse Forbes,"6' 2""",185 lbs.,"75""",Southpaw,24-Oct-84,2,0,4,1,2,1,1,1
Claudionor Fontinelle,"5' 5""",185 lbs.,,Orthodox,,3,0,10,0,0,0,0,0
Sterling Ford,"5' 10""",155 lbs.,,,12-Mar-86,0,0,0,0,0,0,0,0
Codale Ford,"5' 9""",170 lbs.,,,13-May-79,0,0,0,0,0,0,0,0
Marcel Fortuna,"6' 1""",205 lbs.,"74""",Orthodox,22-Oct-85,4,0,5,1,0,0,1,1
Jussier Formiga,"5' 5""",125 lbs.,"67""",Orthodox,14-Apr-85,1,0,2,1,2,0,1,1
Renee Forte,"5' 7""",155 lbs.,"71""",Orthodox,27-Mar-87,2,0,2,1,2,1,1,0
Brian Foster,"5' 9""",170 lbs.,"71""",Orthodox,3-Apr-84,3,0,2,1,4,1,0,2
Francisco France,"6' 0""",205 lbs.,,,21-Jan-83,1,0,4,0,0,0,0,6
John Franchi,"5' 6""",145 lbs.,"67""",Orthodox,16-Jul-82,2,0,3,0,3,1,0,0
Brandon Foxworth,"5' 11""",145 lbs.,,Orthodox,28-Apr-79,1,0,5,1,0,0,0,0
Mason Fowler,"5' 11""",170 lbs.,,,,0,0,0,0,0,0,0,0
Hermes Franca,"5' 6""",155 lbs.,"71""",Orthodox,26-Aug-74,2,0,3,1,2,0,0,2
Glaico Franca Moreira,"6' 0""",155 lbs.,"77""",Orthodox,28-Feb-91,2,0,3,0,3,0,1,0
Xavier Foupa-Pokam,"6' 1""",185 lbs.,,Open Stance,3-Jul-82,1,0,3,0,0,0,0,0
Rich Franklin,"6' 1""",185 lbs.,"76""",Southpaw,5-Oct-74,4,0,2,1,1,1,1,1
Zane Frazier,"6' 5""",250 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Zoila Frausto,"5' 4""",135 lbs.,,Orthodox,,1,0,2,1,0,0,1,0
Justin Frazier,"6' 0""",265 lbs.,"75""",Southpaw,15-Jun-89,1,1,6,0,0,0,0,0
Gary Frazier,"6' 0""",245 lbs.,,Orthodox,,2,0,3,0,0,0,1,0
Stephanie Frausto,"5' 2""",115 lbs.,"61""",Orthodox,20-Sep-90,1,0,4,1,0,0,0,0
Ian Freeman,"5' 11""",225 lbs.,,Orthodox,10-Nov-66,3,0,3,0,1,0,1,1
Jason Freeman,"6' 2""",225 lbs.,,,2-Sep-76,0,0,0,0,0,0,0,0
Willamy Freire,"5' 8""",155 lbs.,,,28-Jul-87,2,0,1,1,1,1,1,0
Patricio Freire,"5' 5""",145 lbs.,"65""",,7-Jul-87,3,0,4,1,1,0,1,1
Patricky Freire,"5' 7""",155 lbs.,"71""",,1-Jun-86,3,0,3,1,1,0,1,0
Jeremy  Freitag,"6' 1""",205 lbs.,,,,0,0,8,0,0,0,0,2
Rafael Freitas,,205 lbs.,,Orthodox,,2,0,8,1,11,1,0,0
Clay French,"5' 7""",161 lbs.,,Southpaw,7-Oct-80,2,1,1,0,0,0,1,0
Donavon Frelow,"5' 7""",135 lbs.,,Orthodox,20-Jan-85,2,0,3,1,1,1,0,0
Mike French,"5' 10""",145 lbs.,,,29-May-75,0,0,2,0,0,0,0,1
Matt Frevola,"5' 9""",155 lbs.,"71""",Orthodox,11-Jun-90,3,0,3,1,3,0,0,1
Jinh Yu Frey,"5' 3""",115 lbs.,"65""",Southpaw,20-May-85,2,0,3,0,1,0,1,1
Artem Frolov,"5' 10""",185 lbs.,,,7-Sep-91,0,0,0,0,0,0,0,0
Sarah Frota,"5' 6""",125 lbs.,"69""",Southpaw,14-Apr-87,5,1,3,1,0,0,1,0
Don Frye,"6' 1""",219 lbs.,,Orthodox,23-Nov-65,3,1,4,0,1,1,0,1
Katsuhisa Fujii,"6' 0""",205 lbs.,,Orthodox,15-Aug-72,4,1,4,1,2,0,1,2
Tony Fryklund,"6' 0""",185 lbs.,,Orthodox,26-Mar-71,3,0,7,0,0,0,1,1
Jesse Fujarczyk,"6' 4""",225 lbs.,,Southpaw,28-Jan-83,1,0,5,0,0,0,0,0
Keisuke Fujiwara,"5' 6""",139 lbs.,,Switch,,1,0,1,0,0,0,0,3
Megumi Fujii,"5' 3""",113 lbs.,,,26-Apr-74,2,0,0,1,0,0,0,12
Kazuyuki Fujita,"6' 0""",235 lbs.,,Orthodox,16-Oct-70,1,0,2,1,3,0,1,1
Riki Fukuda,"6' 0""",185 lbs.,"73""",Southpaw,6-Jan-81,4,0,4,1,2,0,1,0
Masio Fullen,"5' 10""",145 lbs.,"70""",Orthodox,6-Oct-86,2,0,4,1,0,0,1,0
Sam Fulton,,,,,,0,0,0,0,0,0,0,0
Masakatsu Funaki,"6' 0""",185 lbs.,,Southpaw,13-Mar-69,2,1,3,0,0,0,0,6
Travis Fulton,"6' 0""",240 lbs.,,Orthodox,29-May-77,0,0,0,0,0,0,0,0
Ricardo Funch,"5' 10""",170 lbs.,"74""",Southpaw,14-Aug-80,3,1,4,0,1,0,1,0
Katsuaki Furuki,"6' 0""",168 lbs.,,,10-Nov-80,0,0,3,0,0,0,0,3
Gustavo Gabriel,"5' 6""",125 lbs.,,Orthodox,1-Apr-94,4,1,4,0,0,0,1,0
James Gabert,,178 lbs.,,,,0,0,0,0,0,0,0,0
Justin Gaethje,"5' 11""",155 lbs.,"70""",Orthodox,14-Nov-88,7,1,8,1,0,0,1,0
Alavutdin Gadjiev,"6' 2""",185 lbs.,,Orthodox,23-Jun-82,1,0,1,1,0,0,1,0
Claudia Gadelha,"5' 4""",115 lbs.,"63""",Orthodox,7-Dec-88,3,0,5,1,3,0,1,1
Sheila Gaff,"5' 5""",135 lbs.,,Orthodox,29-Dec-89,2,1,3,0,0,0,0,0
Muin Gafurov,"5' 7""",135 lbs.,,,17-May-96,0,0,0,0,0,0,0,0
Mitch Gagnon,"5' 5""",135 lbs.,"65""",Southpaw,10-Oct-84,3,0,2,1,1,0,1,2
Brandon Gaines,"6' 3""",185 lbs.,,,,0,0,0,0,0,0,0,0
Travis Galbraith,"6' 0""",170 lbs.,,Orthodox,18-May-81,2,0,3,0,1,0,0,1
