fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Royce Alger,"5' 10""",199 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Amir Aliakbari,"6' 3""",250 lbs.,,,10-Jun-84,0,0,0,0,0,0,0,0
Sultan Aliev,"5' 11""",170 lbs.,"74""",Orthodox,17-Sep-84,1,0,2,1,2,0,1,0
John Allan,"6' 1""",205 lbs.,"75""",Orthodox,22-Feb-93,3,0,4,1,2,1,1,1
Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,22-Jan-94,3,0,2,1,1,1,1,1
George Allen,"6' 2""",205 lbs.,,Open Stance,13-Jan-67,1,0,3,0,0,0,1,0
Ben Alloway,"5' 11""",170 lbs.,"76""",Orthodox,19-Feb-81,1,0,2,1,1,1,0,0
Brendan Allen,"6' 2""",185 lbs.,"75""",Orthodox,28-Dec-95,4,1,5,0,1,0,1,2
Ricardo Almeida,"6' 0""",170 lbs.,"74""",Orthodox,29-Nov-76,2,0,1,1,4,0,0,1
Magno Almeida,"6' 0""",155 lbs.,,,6-Jun-85,2,0,3,0,0,0,0,5
Thomas Almeida,"5' 7""",145 lbs.,"70""",Southpaw,31-Jul-91,5,0,5,1,0,0,1,0
Ericka Almeida,"5' 6""",115 lbs.,,Orthodox,5-Mar-89,1,0,3,0,1,0,0,0
Mauricio Alonso,"6' 2""",170 lbs.,,,27-Feb-80,6,0,2,1,0,0,0,0
Estefani Almeida,"5' 4""",125 lbs.,,Orthodox,17-Oct-88,3,0,6,0,0,0,0,0
Sarah Alpar,"5' 4""",135 lbs.,"63""",Southpaw,1-Jun-91,2,1,5,0,3,0,1,1
Rico Altamirano,"5' 10""",170 lbs.,,,,0,0,0,0,0,0,0,0
Ali AlQaisi,"5' 6""",135 lbs.,"68""",Orthodox,23-Sep-90,2,0,2,1,4,0,1,1
Mike Altman,"5' 10""",185 lbs.,,Orthodox,,2,0,2,1,0,0,0,0
Sean Alvarez,"6' 0""",235 lbs.,,Orthodox,14-Jul-71,1,0,3,0,0,0,0,0
Jaime Alvarez,"5' 8""",125 lbs.,"69""",Orthodox,8-Mar-88,3,0,5,1,1,0,1,0
Joel Alvarez,"6' 3""",155 lbs.,"77""",Orthodox,2-Mar-94,3,0,3,1,0,0,0,2
Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,11-Jan-84,4,0,4,1,3,0,1,1
Anthony Alves,,,,,,0,0,0,0,0,0,0,0
Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,8-Aug-88,1,0,2,0,0,0,1,0
Thiago Alves,"5' 9""",170 lbs.,"70""",Orthodox,3-Oct-83,4,0,3,1,1,1,1,0
Rafael Alves,"5' 8""",145 lbs.,"68""",Orthodox,10-Oct-90,2,0,4,1,0,0,1,2
Warlley Alves,"5' 11""",170 lbs.,"72""",Orthodox,4-Jan-91,3,0,4,1,1,1,1,1
Andre Amado,"6' 0""",154 lbs.,,Orthodox,,2,0,6,1,0,0,0,0
Maiara Amanajas dos Santos,"5' 5""",115 lbs.,,Southpaw,11-Jul-87,6,0,24,0,0,0,1,0
Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,30-Oct-86,3,0,1,1,6,1,1,0
Sam Alvey,"6' 2""",205 lbs.,"75""",Southpaw,6-May-86,3,0,3,1,0,0,1,0
Jimmy Ambriz,"6' 2""",315 lbs.,,Southpaw,26-Jan-70,1,0,4,0,3,1,1,1
Chris Amarante,,185 lbs.,,,,0,0,0,0,0,0,0,0
JJ Ambrose,"5' 10""",170 lbs.,,Orthodox,,3,1,6,0,0,0,1,0
Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,6-Apr-88,1,0,3,0,0,0,0,0
Makwan Amirkhani,"5' 10""",145 lbs.,"72""",Southpaw,8-Nov-88,1,0,3,1,3,0,1,1
Bertrand Amoussou,"5' 8""",190 lbs.,,Orthodox,,7,0,2,1,0,0,0,0
Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,21-Apr-87,3,0,4,1,2,0,1,0
Andy Anderson,"5' 6""",240 lbs.,,,16-Jul-74,0,0,0,0,0,0,0,0
Karl Amoussou,"5' 11""",185 lbs.,,Orthodox,21-Nov-85,1,0,3,1,0,0,0,1
Matt Andersen,"6' 2""",230 lbs.,,Southpaw,29-May-71,0,0,0,0,0,0,0,0
Lowell Anderson,"5' 6""",160 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Derek Anderson,"6' 0""",155 lbs.,,,2-Feb-90,4,0,3,1,0,0,1,0
Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,22-Sep-89,4,0,2,1,5,1,1,0
Megan Anderson,"6' 0""",145 lbs.,"72""",Orthodox,11-Feb-90,2,0,3,0,1,0,1,1
Viscardi Andrade,"5' 11""",170 lbs.,"75""",Orthodox,8-Mar-84,3,0,3,1,2,1,1,0
Alex Andrade,"5' 11""",200 lbs.,,Orthodox,14-May-74,0,0,3,1,0,0,0,1
Jermaine Andre,"5' 7""",200 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Jessica Andrade,"5' 1""",115 lbs.,"62""",Orthodox,25-Sep-91,6,0,5,1,3,1,1,0
Reese Andy,"6' 0""",205 lbs.,,Orthodox,31-Mar-73,3,1,4,1,1,0,0,0
Dylan Andrews,"6' 1""",185 lbs.,"74""",Switch,15-Nov-79,2,1,3,0,3,1,1,0
Julius Anglickas,"6' 3""",205 lbs.,,Orthodox,23-Jul-91,5,1,2,1,4,1,1,1
Collin Anglin,"5' 9""",145 lbs.,"71""",Orthodox,20-Feb-93,6,1,3,1,3,1,1,0
Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,2-Jun-92,3,1,2,1,1,0,1,0
Yoji Anjo,"5' 11""",205 lbs.,,Orthodox,28-Mar-67,0,0,3,0,0,0,0,0
Nina Ansaroff,"5' 5""",115 lbs.,"64""",Orthodox,3-Dec-85,5,0,4,1,0,0,1,1
Angelo Antonio,,205 lbs.,,Orthodox,,1,1,8,1,0,0,0,0
Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,28-Feb-82,6,1,5,1,0,0,1,0
Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70""",Orthodox,9-Feb-87,2,1,4,0,5,0,0,1
Azunna Anyanwu,"6' 1""",251 lbs.,,Orthodox,5-Aug-81,2,0,2,1,1,1,0,0
Shinsho Anzai,"5' 7""",170 lbs.,"70""",Orthodox,1-Dec-85,3,1,4,0,2,0,1,0
Josh Appelt,"5' 10""",255 lbs.,,Southpaw,19-Jun-83,1,0,12,0,0,0,0,0
Aori Qileng,"5' 7""",125 lbs.,,,25-Jun-93,0,0,0,0,0,0,0,0
Kenji Arai,"5' 10""",145 lbs.,,Southpaw,5-Oct-79,9,0,10,0,0,0,0,0
Erik Apple,"6' 0""",170 lbs.,,Orthodox,26-Aug-77,0,0,1,1,0,0,0,8
Romie Aram,"5' 10""",170 lbs.,,Orthodox,2-Dec-77,2,0,3,1,3,1,1,0
Shinya Aoki,"5' 11""",154 lbs.,,Southpaw,9-May-83,1,1,1,1,3,0,1,4
Igor Araujo,"6' 1""",170 lbs.,"77""",Orthodox,6-Dec-80,2,0,3,0,1,0,0,1
Felipe Arantes,"5' 8""",135 lbs.,"73""",Orthodox,9-Feb-88,2,0,3,1,1,0,0,1
Julio Arce,"5' 7""",145 lbs.,"70""",Southpaw,27-Oct-89,4,0,3,1,1,0,1,1
Viviane Araujo,"5' 4""",125 lbs.,"68""",Orthodox,21-Nov-86,5,0,5,1,2,1,1,0
Art Arciniega,"5' 8""",145 lbs.,,,15-Oct-81,2,0,3,1,0,0,1,1
Tristan Arenal,,155 lbs.,,,,0,0,0,0,0,0,0,0
Joey Armstrong,,,,,,0,0,0,0,0,0,0,0
Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,4-Feb-79,3,0,3,1,0,0,1,0
Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,14-Jan-83,2,0,4,1,1,1,0,0
Ricardo Arona,"5' 11""",205 lbs.,,Orthodox,17-Jul-78,2,0,1,1,2,0,1,1
Chalid Arrab,"5' 11""",205 lbs.,,Orthodox,28-May-75,2,0,2,1,3,1,0,1
Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,22-Oct-91,5,0,6,1,0,0,1,0
Matt Arroyo,"5' 10""",170 lbs.,"72""",Orthodox,1-Sep-82,2,0,2,1,2,0,1,5
Antonio Arroyo,"6' 3""",185 lbs.,"73""",Orthodox,1-Jul-89,3,1,2,0,1,0,0,0
Gilles Arsene,"5' 9""",190 lbs.,,Southpaw,,0,0,2,0,0,0,0,0
Veta Arteaga,"5' 7""",125 lbs.,,,,3,0,2,1,0,0,0,0
Teddy Ash,"6' 1""",185 lbs.,"73""",Switch,27-Dec-89,7,1,7,0,0,0,1,0
Cesar Arzamendia,"5' 11""",155 lbs.,,Orthodox,31-Jan-91,5,0,5,1,7,1,0,2
Askar Askar,"5' 7""",145 lbs.,"69""",Orthodox,19-Aug-94,0,0,0,0,0,0,0,0
Arman Ashimov,"5' 6""",125 lbs.,,,14-Jan-92,0,0,0,0,0,0,0,0
Askar Askarov,"5' 6""",125 lbs.,"67""",Orthodox,9-Oct-92,3,1,3,1,3,0,1,0
Cyril Asker,"6' 0""",247 lbs.,"74""",Orthodox,24-Dec-85,3,0,6,0,4,1,1,1
Scott Askham,"6' 3""",185 lbs.,"75""",Southpaw,20-May-88,3,0,4,1,0,0,1,1
Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,18-Jul-84,4,0,6,0,4,1,0,1
Ibo Aslan,"6' 3""",205 lbs.,,,23-Apr-96,0,0,0,0,0,0,0,0
Tom Aspinall,"6' 5""",256 lbs.,"78""",Orthodox,11-Apr-93,7,1,3,1,4,1,0,2
Bruno Assis,"6' 2""",185 lbs.,,Orthodox,23-May-92,1,0,3,0,2,1,1,1
Junior Assuncao,"5' 9""",145 lbs.,"72""",Orthodox,24-Jun-81,3,1,2,0,2,0,1,1
Raphael Assuncao,"5' 5""",135 lbs.,"66""",Orthodox,19-Jul-82,3,0,2,1,1,0,1,0
Bazigit Atajev,"6' 1""",230 lbs.,,Orthodox,,1,0,3,0,1,0,0,0
Rich Attonito,"5' 10""",170 lbs.,"72""",Orthodox,16-Jun-77,2,0,2,1,1,0,1,0
Pat Audinwood,"6' 0""",155 lbs.,,Orthodox,16-Apr-86,1,0,4,0,1,1,0,0
Olivier Aubin-Mercier,"5' 9""",155 lbs.,"70""",Southpaw,23-Feb-89,2,1,3,1,2,0,1,1
Jose Augusto,"6' 3""",251 lbs.,,,28-Mar-92,0,0,0,0,0,0,0,0
Marcus Aurelio,"5' 10""",155 lbs.,"74""",Orthodox,18-Aug-73,1,0,2,1,2,0,0,1
David Avellan,"5' 9""",185 lbs.,,Orthodox,,3,0,10,1,0,0,0,0
Levi Avera,"6' 1""",170 lbs.,,,17-May-82,0,0,0,0,0,0,0,0
Blas Avena,"6' 0""",170 lbs.,"74""",Orthodox,30-Jun-83,2,0,3,0,2,1,1,2
Anthony Avila,"5' 7""",145 lbs.,,,29-Dec-88,0,0,0,0,0,0,0,0
Julia Avila,"5' 7""",135 lbs.,"68""",Orthodox,11-May-88,3,0,3,1,0,1,1,0
Chris Avila,"5' 10""",145 lbs.,,Orthodox,16-Jan-93,2,0,4,0,0,0,0,0
Saad Awad,"5' 11""",155 lbs.,,,7-Jun-83,2,0,2,1,1,0,1,1
Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,10-Mar-86,3,0,1,1,1,1,0,0
Javy Ayala,"6' 1""",265 lbs.,,,20-Aug-88,1,0,5,0,0,0,0,0
Jessin Ayari,"6' 0""",155 lbs.,"73""",Orthodox,31-May-92,4,0,4,1,0,0,1,0
Luiz Azeredo,"5' 9""",154 lbs.,,Orthodox,10-Jun-76,2,0,3,1,1,1,0,0
Ottman Azaitar,"5' 8""",155 lbs.,"71""",Switch,20-Feb-90,8,1,2,1,0,0,1,0
Luciano Azevedo,"6' 3""",161 lbs.,,Orthodox,25-Jun-81,1,0,2,0,2,0,0,0
Hunter Azure,"5' 8""",145 lbs.,"69""",Orthodox,2-Mar-92,4,1,2,1,3,0,1,1
Niklas Backstrom,"6' 1""",145 lbs.,,Orthodox,22-Aug-89,1,0,4,0,3,1,1,2
Izabela Badurek,"5' 5""",115 lbs.,,Orthodox,11-Jul-91,4,1,5,0,2,0,1,0
Miguel Baeza,"6' 2""",170 lbs.,"74""",Orthodox,23-Aug-92,5,1,4,1,1,0,1,1
Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,10-Jun-85,3,0,3,1,3,0,1,0
Seth Baczynski,"6' 3""",170 lbs.,"75""",Orthodox,26-Oct-81,3,0,3,1,1,0,0,1
Ryan Bader,"6' 2""",205 lbs.,"74""",Orthodox,7-Jun-83,3,0,1,1,3,0,1,0
Mehdi Baghdad,"6' 1""",155 lbs.,,Orthodox,13-Apr-85,3,0,5,0,0,0,0,0
Melsik Baghdasaryan,"5' 9""",145 lbs.,"70""",Southpaw,28-Jan-92,7,1,4,1,0,0,1,0
Siyar Bahadurzada,"5' 11""",170 lbs.,"73""",Orthodox,17-Apr-84,3,0,3,0,1,1,1,0
Ignacio Bahamondes,"6' 3""",170 lbs.,"75""",Orthodox,27-Aug-97,9,1,3,1,0,0,1,0
Stephen Banaszak,"6' 0""",145 lbs.,,,7-Dec-90,4,0,1,1,0,0,1,2
Jordan Bailey,"5' 9""",145 lbs.,,,,2,0,0,0,4,1,0,4
Bryan Baker,"6' 3""",185 lbs.,,Orthodox,13-Oct-85,2,1,3,0,0,1,0,1
Oluwale Bamgbose,"5' 11""",185 lbs.,"78""",Switch,4-Aug-87,2,0,3,1,1,0,0,0
Shamar Bailey,"5' 9""",155 lbs.,"75""",Southpaw,22-Sep-82,2,0,4,1,2,0,0,0
Scott Baker,"6' 0""",210 lbs.,,,,0,0,0,0,0,0,0,0
Marcin Bandel,"5' 10""",155 lbs.,,Orthodox,10-Oct-89,1,1,5,0,0,0,0,0
Humberto Bandenay,"5' 11""",145 lbs.,"71""",Southpaw,4-Sep-94,2,0,5,0,3,0,1,1
Tae Hyun Bang,"5' 9""",155 lbs.,"71""",Switch,15-Apr-83,3,0,2,1,0,0,1,1
Maycee Barber,"5' 5""",125 lbs.,"65""",Switch,18-May-98,5,1,3,1,1,0,1,0
Yohan Banks,,,,,,0,0,0,0,0,0,0,0
Junior Barata,"5' 10""",170 lbs.,,Orthodox,25-Jan-82,4,0,8,0,0,0,0,0
Antonio Banuelos,"5' 5""",135 lbs.,"63""",Orthodox,23-Sep-79,3,0,3,1,2,1,1,0
Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,3-May-89,5,0,5,0,0,0,1,1
Renan Barao,"5' 6""",145 lbs.,"70""",Orthodox,31-Jan-87,4,0,4,1,1,0,1,1
Edson Barboza,"5' 11""",145 lbs.,"75""",Orthodox,21-Jan-86,4,0,4,1,0,0,1,0
Nick Barnes,"5' 11""",170 lbs.,,,,3,0,9,1,5,1,1,5
James Barnes,"5' 8""",145 lbs.,,,,0,0,0,0,0,0,0,0
Raoni Barcelos,"5' 7""",135 lbs.,"67""",Orthodox,1-May-87,6,1,4,1,2,1,1,1
Luke Barnatt,"6' 6""",185 lbs.,"77""",Orthodox,13-Apr-88,4,0,4,1,1,0,1,0
Chris Barnhizer,,,,,,0,0,0,0,0,0,0,0
David Baron,"5' 6""",155 lbs.,,Switch,15-Feb-73,1,0,2,1,0,0,0,1
Phil Baroni,"5' 9""",170 lbs.,"72""",Orthodox,16-Apr-76,3,0,4,0,1,0,1,1
Josh Barnett,"6' 3""",250 lbs.,"78""",Orthodox,10-Nov-77,3,1,2,1,1,1,1,1
Carlos Barreto,"6' 4""",230 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Jose Barreto,,185 lbs.,,Southpaw,,0,0,0,0,0,0,0,0
Dan Barrera,"5' 9""",170 lbs.,,Orthodox,23-Dec-80,1,1,1,0,1,0,0,0
Peter Barrett,"5' 10""",145 lbs.,"73""",Southpaw,10-Aug-86,4,1,4,0,1,0,1,0
David Barrios,"5' 6""",145 lbs.,,,,0,0,0,0,0,0,0,0
Marc-Andre Barriault,"6' 1""",185 lbs.,"74""",Orthodox,18-Feb-90,4,0,4,1,1,0,1,0
Alexandre Barros,"5' 9""",170 lbs.,,Southpaw,19-Nov-76,1,0,4,0,2,1,1,0
Ricardo Barros,"6' 1""",205 lbs.,,,22-Mar-76,0,0,8,0,0,0,1,0
Francimar Barroso,"6' 1""",205 lbs.,"75""",Orthodox,28-Feb-80,3,1,3,1,2,0,1,0
Dean Barry,,155 lbs.,,,7-Mar-92,0,0,0,0,0,0,0,0
Enrique Barzola,"5' 7""",145 lbs.,"70""",Orthodox,28-Apr-89,4,0,3,1,4,0,1,0
Stephen Bass,"5' 9""",145 lbs.,,Orthodox,14-Nov-82,5,1,6,1,0,0,0,0
Pat Barry,"5' 11""",235 lbs.,"74""",Orthodox,7-Jul-79,3,1,4,1,0,0,1,0
Sean Bassett,,155 lbs.,,,,0,0,0,0,0,0,0,0
Ryan Bastianelli,"5' 5""",135 lbs.,,,,0,0,0,0,0,0,0,0
Shayna Baszler,"5' 7""",135 lbs.,,Orthodox,8-Aug-80,2,0,6,1,1,0,0,1
Batgerel Danaa,"5' 7""",135 lbs.,"70""",Orthodox,4-Jul-89,6,0,3,1,0,0,1,0
Michel Batista,"6' 3""",260 lbs.,,Orthodox,20-Apr-84,0,0,4,0,7,1,0,0
Alan Baudot,"6' 3""",243 lbs.,"79""",Orthodox,1-Feb-88,2,0,10,0,0,0,0,0
Mario Bautista,"5' 9""",135 lbs.,"69""",Switch,1-Jul-93,6,0,5,1,0,0,1,0
Chris Beal,"5' 7""",125 lbs.,"69""",Orthodox,6-Aug-85,3,0,3,1,2,1,1,0
Rudy Bears,"5' 11""",170 lbs.,,Southpaw,,1,0,3,1,0,0,0,0
Salvador Becerra,"5' 9""",155 lbs.,,,,5,0,4,1,0,0,1,0
Ariel Beck,"5' 6""",125 lbs.,"66""",Southpaw,16-Sep-90,4,0,4,1,0,0,0,0
Jeff Bedard,"5' 6""",145 lbs.,,Orthodox,6-Feb-70,1,1,0,1,3,1,1,3
Eric Bedard,"6' 2""",239 lbs.,,,11-Sep-84,6,0,9,1,0,0,0,0
Lyle Beerbohm,"5' 10""",155 lbs.,,Southpaw,5-Feb-79,2,1,2,1,2,0,1,0
Chase Beebe,"5' 7""",135 lbs.,"67""",Orthodox,29-Mar-85,2,0,2,1,2,0,0,1
Johnny Bedford,"5' 10""",135 lbs.,"71""",Orthodox,6-Jan-83,5,1,2,1,2,1,1,0
Mirsad Bektic,"5' 8""",145 lbs.,"70""",Orthodox,16-Feb-91,2,0,2,1,4,1,1,0
Diana Belbita,"5' 7""",125 lbs.,"68""",Orthodox,26-Jun-96,6,0,6,1,2,1,1,0
Alan Belcher,"6' 2""",185 lbs.,"75""",Orthodox,24-Apr-84,3,0,3,1,0,0,1,1
Danilo Belluardo,"6' 0""",155 lbs.,"74""",Southpaw,21-Jul-94,2,1,5,0,4,1,1,0
Vitor Belfort,"6' 0""",185 lbs.,"74""",Southpaw,1-Apr-77,2,0,3,1,1,1,1,1
Joey Beltran,"6' 1""",185 lbs.,"75""",Orthodox,8-Dec-81,5,0,5,1,0,0,1,0
Marco Beltran,"5' 8""",125 lbs.,"69""",Orthodox,18-May-86,2,0,2,1,1,1,0,0
Mike Bencic,"6' 0""",215 lbs.,,Orthodox,,0,0,3,1,0,0,0,0
Joseph Benavidez,"5' 4""",125 lbs.,"65""",Southpaw,31-Jul-84,4,0,3,1,1,0,1,1
Karla Benitez,"5' 3""",113 lbs.,,,,0,0,2,1,0,0,1,0
Dave Beneteau,"6' 2""",250 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Gabriel Benitez,"5' 8""",155 lbs.,"71""",Southpaw,15-Jun-88,4,0,3,1,0,1,1,1
DeAnna Bennett,"5' 4""",125 lbs.,"68""",Orthodox,18-Nov-84,3,1,3,1,0,0,0,1
Josh Bennett,"6' 4""",259 lbs.,,Orthodox,,3,0,6,0,2,1,1,0
Charles Bennett,"5' 8""",155 lbs.,,Orthodox,23-Nov-79,1,0,1,1,2,1,0,2
Lance Benoist,"5' 11""",170 lbs.,"72""",Southpaw,26-Aug-88,4,1,3,1,2,0,1,0
Joe Benoit,"5' 9""",170 lbs.,,Orthodox,12-Mar-82,0,0,0,1,0,0,0,0
Pat Benson,"5' 9""",155 lbs.,,,,0,0,0,0,0,0,0,0
Ryan Benoit,"5' 5""",125 lbs.,"68""",Orthodox,25-Aug-89,3,0,3,1,0,0,1,1
Len Bentley,"5' 9""",155 lbs.,,,30-Nov-82,0,0,0,0,0,0,0,0
Kenneth Bergh,"6' 2""",205 lbs.,"74""",Orthodox,26-Jun-89,5,1,1,0,0,0,0,0
Steve Berger,"5' 11""",170 lbs.,,Orthodox,20-May-73,1,0,3,0,1,0,0,2
Bret Bergmark,"5' 9""",170 lbs.,,,24-Nov-73,3,1,3,0,4,1,1,4
Keith Berish,"6' 0""",205 lbs.,,Orthodox,14-Nov-85,4,0,5,1,2,0,0,0
Dennis Bermudez,"5' 6""",155 lbs.,"66""",Orthodox,13-Dec-86,4,0,3,1,4,0,1,1
Dave Berry,,,,,,0,0,0,0,0,0,0,0
